"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Crd Note",1,"DES001","00011983","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041086","03/03/2025",-30.00,450.0000,450.0000,"DN#12804-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,2025.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","DESCO CASH AND CARRY","","","",""
"Invoice",1,"CRA003","00041126","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","03/03/2025",1.00,450.0000,450.0000,"DN#12895-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,67.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","CRAZY KOREAN - DURBAN NORTH","","","",""
"Invoice",1,"FAM000","00041128","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","03/03/2025",5.00,450.0000,450.0000,"DN#12805-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,337.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","FAMILY GAS","","","",""
"Crd Note",1,"FAM000","00011984","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041128","03/03/2025",-5.00,450.0000,450.0000,"DN#12805-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,337.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","FAMILY GAS","","","",""
"Invoice",1,"MA0050","00041133","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","03/03/2025",2.00,450.0000,450.0000,"DN#12808-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,135.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","MAYORS WALK SPAR","","","",""
"Crd Note",1,"MA0050","00011985","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041133","03/03/2025",-4.00,450.0000,450.0000,"DN#12808-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,270.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","MAYORS WALK SPAR","","","",""
"Invoice",1,"LIN001","00041137","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00010642","03/03/2025",120.00,450.0000,450.0000,"DN#10503","002","TIFFANY","01","",0.0000,0.0000,1,8100.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","SLINDOKUHLE ENTERPRISES (PTY) LTD","","","",""
"Crd Note",1,"CRA003","00011986","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041126","03/03/2025",-1.00,450.0000,450.0000,"DN#12895-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,67.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","CRAZY KOREAN - DURBAN NORTH","","","",""
"Invoice",1,"INC002","00041155","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","03/03/2025",15.00,450.0000,450.0000,"DN#12896-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,1012.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","MRS DLAMINI","","","",""
"Invoice",1,"GAS004","00041168","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","04/03/2025",3.00,450.0000,450.0000,"DN#10503-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,202.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","GAS 2 GO HILTIN NEW ACCOUNT","","","",""
"Crd Note",1,"GAS004","00011988","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041168","04/03/2025",-3.00,450.0000,450.0000,"DN#10503-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,202.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","GAS 2 GO HILTIN NEW ACCOUNT","","","",""
"Crd Note",1,"LIN001","00011989","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041137","04/03/2025",-176.00,450.0000,450.0000,"DN#10503","002","LOUIS","01","",0.0000,0.0000,1,11880.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","SLINDOKUHLE ENTERPRISES (PTY) LTD","","","",""
"Invoice",1,"MAT009","00041184","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","04/03/2025",11.00,450.0000,450.0000,"DN#12811-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,742.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","MATHEW NEW COD ACCOUNT","","","",""
"Invoice",1,"KWE001","00041190","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","04/03/2025",10.00,450.0000,450.0000,"DN#11723-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,675.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","KWEZI CASH AND CARRY","","","",""
"Invoice",1,"FIR001","00041191","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","04/03/2025",1.00,450.0000,450.0000,"DN#11723-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,67.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","FIRE AND VINE","","","",""
"Invoice",1,"KON001","00041199","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","04/03/2025",5.00,450.0000,450.0000,"DN#12813-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,337.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","KONDENI FUELS - GAS ACCOUNT","","","",""
"Crd Note",1,"KWE001","00011992","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041190","04/03/2025",-10.00,450.0000,450.0000,"DN#11723-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,675.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","KWEZI CASH AND CARRY","","","",""
"Crd Note",1,"FIR001","00011993","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041191","04/03/2025",-1.00,450.0000,450.0000,"DN#11723-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,67.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","FIRE AND VINE","","","",""
"Crd Note",1,"TAN001","00011994","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041161","04/03/2025",-1.00,450.0000,450.0000,"DN#12899-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,67.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","TANYA LEHMAN","","","",""
"Crd Note",1,"INC002","00011998","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00041155","04/03/2025",-17.00,450.0000,450.0000,"DN#12896-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,1147.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","MRS DLAMINI","","","",""
"Invoice",1,"BU0009","00041205","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00010662","05/03/2025",20.00,450.0000,450.0000,"DN#12900","002","LOUIS","01","",0.0000,0.0000,1,1350.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","IMPENDLE WHOLESALE 2025","","","",""
"Invoice",1,"BU0002","00041206","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00010663","05/03/2025",20.00,450.0000,450.0000,"DN#12901","002","LOUIS","01","",0.0000,0.0000,1,1350.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","BULWER CASH STORE","","","",""
"Invoice",1,"HN0020","00041208","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","05/03/2025",10.00,450.0000,450.0000,"DN#12902-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,675.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","HNO EMPITES ACCOUNT","","","",""
"Invoice",1,"GL0001","00041210","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","05/03/2025",7.00,450.0000,450.0000,"DN#12903-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,472.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","GLORIA BULWER","","","",""
"Invoice",1,"WO0001","00041212","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","05/03/2025",25.00,450.0000,450.0000,"DN#12904-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,1687.50,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","L3 CASH AND CARRY","","","",""
"Invoice",1,"GAS004","00041231","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","05/03/2025",6.00,450.0000,450.0000,"DN#11724-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,405.00,"","",450.0000,450.0000,450.0000,450.0000,450.0000,450.0000,"DELIVERY","GAS 2 GO HILTIN NEW ACCOUNT","","","",""
