"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"GRV",1,"003ORY","00001223","14.3","14KG LPG REFILL","14K","LPG","","00000000","02/03/2020",-5.00,0.0000,192.1040,"20001554","","DARREN","01","",0.0000,0.0000,1,144.08,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"BU0002","00006358","14.3","14KG LPG REFILL","14K","LPG","","","03/03/2020",5.00,239.1300,192.1044,"","002","DARREN","01","",0.0000,0.0000,1,179.34,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","BULWER CASH STORE","","","",""
"Invoice",1,"TH0001","00006370","14.3","14KG LPG REFILL","14K","LPG","","","05/03/2020",2.00,242.1200,192.1044,"","002","DARREN","01","",0.0000,0.0000,1,72.64,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","THUTHUKA GENERAL DEALER","","","",""
"GRV",1,"003ORY","00001225","14.3","14KG LPG REFILL","14K","LPG","","00000000","05/03/2020",-2.00,0.0000,188.6950,"20001662","","DARREN","01","",0.0000,0.0000,1,56.61,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"NT0001","00006375","14.3","14KG LPG REFILL","14K","LPG","","","05/03/2020",2.00,245.2200,189.8315,"","002","DARREN","01","",0.0000,0.0000,1,73.56,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","NTOZONKE NEW","","","",""
"Invoice",1,"BU0002","00006409","14.3","14KG LPG REFILL","14K","LPG","","","16/03/2020",5.00,239.1300,189.8315,"","002","DARREN","01","",0.0000,0.0000,1,179.35,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","BULWER CASH STORE","","","",""
"GRV",1,"003ORY","00001229","14.3","14KG LPG REFILL","14K","LPG","","00000000","17/03/2020",-5.00,0.0000,188.6960,"20001929","","DARREN","01","",0.0000,0.0000,1,141.52,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"BU0002","00006431","14.3","14KG LPG REFILL","14K","LPG","","","23/03/2020",6.00,239.1300,188.6960,"","002","TANAKA","01","",0.0000,0.0000,1,215.21,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","BULWER CASH STORE","","","",""
"Invoice",1,"BU0002","00006433","14.3","14KG LPG REFILL","14K","LPG","","","23/03/2020",6.00,239.1300,188.6960,"","002","TANAKA","01","",0.0000,0.0000,1,215.22,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","BULWER CASH STORE","","","",""
"GRV",1,"003ORY","00001234","14.3","14KG LPG REFILL","14K","LPG","","00000000","23/03/2020",-6.00,0.0000,188.6950,"20002144","","DARREN","01","",0.0000,0.0000,1,169.83,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"GRV",1,"003ORY","00001236","14.3","14KG LPG REFILL","14K","LPG","","00000000","24/03/2020",-5.00,0.0000,188.6960,"20002183","","DARREN","01","",0.0000,0.0000,1,141.52,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"CS0004","00006460","14.3","14KG LPG REFILL","14K","LPG","","","25/03/2020",1.00,269.5700,188.6960,"","001","TANAKA","01","",0.0000,0.0000,1,40.44,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"COUNTER SALES","CASH SALES - SPEEDPOINT","","","",""
"GRV",1,"003ORY","00001238","14.3","14KG LPG REFILL","14K","LPG","","00000000","25/03/2020",-5.00,0.0000,188.6960,"20002261","","DARREN","01","",0.0000,0.0000,1,141.52,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"BU0003","00006462","14.3","14KG LPG REFILL","14K","LPG","","","25/03/2020",5.00,241.7400,188.6960,"","002","DARREN","01","",0.0000,0.0000,1,181.31,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","IMPENDLE WHOLESALE","","","",""
"Invoice",1,"CS0004","00006469","14.3","14KG LPG REFILL","14K","LPG","","","26/03/2020",1.00,269.5700,188.6960,"","001","DARREN","01","",0.0000,0.0000,1,40.44,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"COUNTER SALES","CASH SALES - SPEEDPOINT","","","",""
"Invoice",1,"TH0001","00006470","14.3","14KG LPG REFILL","14K","LPG","","","26/03/2020",2.00,242.1200,188.6960,"","002","DARREN","01","",0.0000,0.0000,1,72.63,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","THUTHUKA GENERAL DEALER","","","",""
"Invoice",1,"SEL001","00006483","14.3","14KG LPG REFILL","14K","LPG","","","26/03/2020",4.00,278.9800,188.6960,"","002","DARREN","01","",0.0000,0.0000,1,167.39,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"DELIVERY","SUPERSPAR SELGROW","","","",""
"GRV",1,"003ORY","00001240","14.3","14KG LPG REFILL","14K","LPG","","00000000","26/03/2020",-2.00,0.0000,188.6950,"20002307","","DARREN","01","",0.0000,0.0000,1,56.61,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Crd Note",1,"NT0001","00000831","14.3","14KG LPG REFILL","14K","LPG","","00006325","20/02/2020",-11.00,245.2200,188.6958,"ERROR ON #6325","001","LOUIS","01","",0.0000,0.0000,1,404.62,"","",251.2385,156.5600,156.5600,156.5600,156.5600,156.5600,"COUNTER SALES","NTOZONKE NEW","","","",""
