"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Invoice",1,"CS0053","00030017","00000001","MULTI-BRAND COARSE CRUSH 50KG","AGR","FEED","","","01/03/2024",2.00,321.7400,245.0088,"","001","SHIREL","01","",0.0000,0.0000,1,96.52,"","",327.0000,317.0000,307.0000,299.0000,289.0000,280.0000,"COUNTER SALES","BARNYARD COUNTER SALES 2024","","","",""
"Invoice",1,"CS0053","00030694","00000001","MULTI-BRAND COARSE CRUSH 50KG","AGR","FEED","","","25/03/2024",1.00,321.7400,243.6091,"","001","SHIREL","01","",0.0000,0.0000,1,48.26,"","",319.0000,309.0000,299.0000,292.0000,282.0000,274.0000,"COUNTER SALES","BARNYARD COUNTER SALES 2024","","","",""
"Invoice",1,"CS0053","00030939","00000001","MULTI-BRAND COARSE CRUSH 50KG","AGR","FEED","","","03/04/2024",2.00,321.7400,243.6091,"","001","SHIREL","01","",0.0000,0.0000,1,96.52,"","",319.0000,309.0000,299.0000,292.0000,282.0000,274.0000,"COUNTER SALES","BARNYARD COUNTER SALES 2024","","","",""
"GRV",1,"001HOP","00004511","00000001","MULTI-BRAND COARSE CRUSH 50KG","AGR","FEED","","00000000","19/04/2024",-10.00,0.0000,242.6090,"1N865560","","SHIREL","01","",0.0000,0.0000,1,363.91,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"HOPEWELL SUPPLIES (PTY) LTD","","","",""
"Invoice",1,"CS0053","00031676","00000001","MULTI-BRAND COARSE CRUSH 50KG","AGR","FEED","","","29/04/2024",1.00,321.7400,243.2519,"","001","SHIREL","01","",0.0000,0.0000,1,48.26,"","",324.0000,314.0000,304.0000,296.0000,286.0000,278.0000,"COUNTER SALES","BARNYARD COUNTER SALES 2024","","","",""
"Invoice",1,"CS0053","00030716","00000009","MULTI-BRAND MIXED FOWL FEED 10KG","AGR","FEED","","","26/03/2024",1.00,86.9600,69.5667,"","001","SHIREL","01","",0.0000,0.0000,1,13.04,"","",93.0000,90.0000,87.0000,85.0000,82.0000,80.0000,"COUNTER SALES","BARNYARD COUNTER SALES 2024","","","",""
"Invoice",1,"CS0053","00030739","00000009","MULTI-BRAND MIXED FOWL FEED 10KG","AGR","FEED","","","26/03/2024",1.00,95.6500,69.5667,"","001","SHIREL","01","",0.0000,0.0000,1,14.35,"","",93.0000,90.0000,87.0000,85.0000,82.0000,80.0000,"COUNTER SALES","BARNYARD COUNTER SALES 2024","","","",""
"Invoice",1,"CS0053","00031736","00000009","MULTI-BRAND MIXED FOWL FEED 10KG","AGR","FEED","","","30/04/2024",1.00,86.9600,69.5667,"","001","SHIREL","01","",0.0000,0.0000,1,13.04,"","",93.0000,90.0000,87.0000,85.0000,82.0000,80.0000,"COUNTER SALES","BARNYARD COUNTER SALES 2024","","","",""
"Invoice",1,"CS0053","00030635","00000014","SYRINGE 20ML","AGR","HEALTH","","","22/03/2024",2.00,4.3500,1.8794,"","001","SHIREL","01","",0.0000,0.0000,1,1.31,"","",3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,"COUNTER SALES","BARNYARD COUNTER SALES 2024","","","",""
"Invoice",1,"CS0053","00030358","00000015","SYRINGE 10ML","AGR","HEALTH","","","13/03/2024",8.00,4.3500,2.1527,"","001","SHIREL","01","",0.0000,0.0000,1,5.23,"","",3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,"COUNTER SALES","BARNYARD COUNTER SALES 2024","","","",""
