"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Invoice",7,"TAN002","00024640","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","19/09/2023",3.00,520.0000,308.1205,"D/N 6469 EMPTIES","002","DONNE","01","",0.0000,0.0000,1,234.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",7,"TAN002","00006264","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00024640","19/09/2023",-3.00,520.0000,308.1205,"D/N 6469 EMPTIES","002","JADON","01","",0.0000,0.0000,1,234.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",7,"TAN002","00025023","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","02/10/2023",2.00,520.0000,305.7871,"D/N 6578 EMPTIES","002","DONNE","01","",0.0000,0.0000,1,156.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",7,"TAN002","00006394","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00025023","02/10/2023",-2.00,520.0000,305.7871,"D/N 6578 EMPTIES","002","JADON","01","",0.0000,0.0000,1,156.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",7,"TAN002","00024639","S.3","48KG LPG REFILL SINGLE VALVE","SV","LPG","","00006652","19/09/2023",3.00,979.9500,870.2085,"D/N 6469","002","DONNE","01","",0.0000,0.0000,1,440.98,"","",1550.1391,1446.8000,1356.3739,1276.5826,1205.6609,1142.2087,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",7,"TAN002","00025022","S.3","48KG LPG REFILL SINGLE VALVE","SV","LPG","","00006759","02/10/2023",2.00,979.9500,871.4745,"D/N 6578","002","DONNE","01","",0.0000,0.0000,1,293.99,"","",1550.1391,1446.8000,1356.3739,1276.5826,1205.6609,1142.2087,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",8,"TAN002","00025991","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","","30/10/2023",1.00,520.0000,300.2658,"D/N 6756 EMPTIES","002","DONNE","01","",0.0000,0.0000,1,78.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",8,"TAN002","00006663","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","00025991","30/10/2023",-1.00,520.0000,300.2658,"D/N 6756 EMPTIES","002","SHIREL","01","",0.0000,0.0000,1,78.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",8,"TAN002","00025990","19.4","19KG LPG - PACKED","19K","LPG","","00006967","30/10/2023",1.00,423.7400,359.5899,"D/N 6756","002","DONNE","01","",0.0000,0.0000,1,63.56,"","",594.2087,554.6000,519.9391,489.3478,462.1739,437.8435,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",8,"TAN002","00025735","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","21/10/2023",1.00,520.0000,299.7675,"D/N 6829 EMPTIES","002","DONNE","01","",0.0000,0.0000,1,78.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",8,"TAN002","00006593","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00025735","21/10/2023",-1.00,520.0000,299.7675,"D/N 6829 EMPTIES","002","JADON","01","",0.0000,0.0000,1,78.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",8,"TAN002","00025734","9.4","9KG ORYX LPG","9KG","LPG","","","21/10/2023",1.00,200.7200,171.3019,"D/N 682*9","002","DONNE","01","",0.0000,0.0000,1,30.11,"","",281.4609,262.6870,246.2783,231.7913,218.9130,207.3913,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",8,"TAN002","00026200","D.3","48KG LPG REFILL - DOUBLE VALVE","DV","LPG","","00007001","03/11/2023",2.00,1550.1400,948.3703,"D/N 6768","002","DONNE","01","",0.0000,0.0000,1,465.04,"","",1660.1739,1549.4870,1452.6522,1367.2000,1291.2435,1223.2783,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",8,"TAN002","00006707","D.3","48KG LPG REFILL - DOUBLE VALVE","DV","LPG","","00026200","03/11/2023",-2.00,1550.1400,948.3703,"PRICE ADJ","002","DONNE","01","",0.0000,0.0000,1,465.04,"","",1660.1739,1549.4870,1452.6522,1367.2000,1291.2435,1223.2783,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
