"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Invoice",1,"TAN002","00031436","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","","18/04/2024",1.00,300.0000,300.1184,"31432 - EMPTY","002","HANNAH","01","",0.0000,0.0000,1,45.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",1,"TAN002","00008125","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","00031436","18/04/2024",-1.00,300.0000,300.1184,"31432 - EMPTY","002","HANNAH","01","",0.0000,0.0000,1,45.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00031432","19.4","19KG LPG - PACKED","19K","LPG","","","18/04/2024",1.00,457.4600,417.5823,"DN#8894","002","HANNAH","01","",0.0000,0.0000,1,68.62,"","",594.2087,554.6000,519.9391,489.3478,462.1739,437.8435,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00030582","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","","20/03/2024",1.00,520.0000,299.8133,"DN#3795","002","HANNAH","01","",0.0000,0.0000,1,78.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",1,"TAN002","00007777","9.1","9KG CYLINDER DEPOSIT","CYL","CYL","","00030582","22/03/2024",-1.00,520.0000,299.8437,"DN#3795","002","KAYLA","01","",0.0000,0.0000,1,78.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00030574","9.4","9KG ORYX LPG","9KG","LPG","","00007978","20/03/2024",1.00,217.9500,198.0417,"DN#3795 SO#7975","002","HANNAH","01","",0.0000,0.0000,1,32.69,"","",243.4782,243.4782,243.4782,243.4782,243.4782,243.4782,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00030167","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","06/03/2024",2.00,300.0000,303.1202,"SO7819","002","HANNAH","01","",0.0000,0.0000,1,90.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",1,"TAN002","00007609","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00030167","06/03/2024",-2.00,300.0000,303.1202,"SO7819","002","KAYLA","01","",0.0000,0.0000,1,90.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00030582","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","20/03/2024",2.00,520.0000,305.6512,"DN#3795","002","HANNAH","01","",0.0000,0.0000,1,156.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00030588","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","20/03/2024",2.00,520.0000,304.5381,"DN#3798","002","HANNAH","01","",0.0000,0.0000,1,156.00,"","",520.0000,520.0000,520.0000,520.0000,520.0000,520.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
