"ENTRY","PERIOD","ACCNO","NAME","DOCNO","INVNO","DEBORDER","ORDERNO","DEPREF","DATE","REF","AMOUNT","TAX","EXCODE","FAMOUNT","PAID"
"Invoice",1,"TAN002","TANDOOR THE CLAY OVEN","00041270","00041270","DN#11730","00010680","","06/03/2025","TANDOOR THE CLAY OVEN",1338.78,174.62,"00",0.00,"Y"
"Invoice",1,"TAN002","TANDOOR THE CLAY OVEN","00041271","00041271","DN#11730-EMPTY","","","06/03/2025","TANDOOR THE CLAY OVEN",1207.50,157.50,"00",0.00,"Y"
"Crd Note",1,"TAN002","TANDOOR THE CLAY OVEN","00012022","00041271","DN#11730-EMPTY","","","06/03/2025","TANDOOR THE CLAY OVEN",-1207.50,-157.50,"00",0.00,"Y"
"Invoice",1,"TAN002","TANDOOR THE CLAY OVEN","00041408","00041408","D/N 12919","00010720","","12/03/2025","TANDOOR THE CLAY OVEN",3207.50,418.37,"00",0.00,"Y"
"Invoice",1,"TAN002","TANDOOR THE CLAY OVEN","00041584","00041584","DN#10527","00010797","","18/03/2025","TANDOOR THE CLAY OVEN",2677.57,349.25,"00",0.00,"Y"
"Invoice",1,"TAN002","TANDOOR THE CLAY OVEN","00041589","00041589","DN#10527-EMPTY","","","18/03/2025","TANDOOR THE CLAY OVEN",2415.00,315.00,"00",0.00,"Y"
"Crd Note",1,"TAN002","TANDOOR THE CLAY OVEN","00012093","00041589","DN#10527-EMPTY","","","19/03/2025","TANDOOR THE CLAY OVEN",-2415.00,-315.00,"00",0.00,"Y"
"Invoice",1,"TAN002","TANDOOR THE CLAY OVEN","00041892","00041892","DN#12835","00010899","","01/04/2025","TANDOOR THE CLAY OVEN",1868.72,243.75,"00",0.00,"Y"
"Invoice",1,"TAN002","TANDOOR THE CLAY OVEN","00041893","00041893","DN#12835-EMPTY","","","01/04/2025","TANDOOR THE CLAY OVEN",1897.50,247.50,"00",0.00,"Y"
"Payment",1,"TAN002","TANDOOR THE CLAY OVEN","00037780","00040709","TRANSF","","STAT 112","27/03/2025","TANDOOR THE CLAY OVEN",-1241.13,0.00,"00",0.00,"Y"
"Payment",1,"TAN002","TANDOOR THE CLAY OVEN","00037780","00040849","TRANSF","","STAT 112","27/03/2025","TANDOOR THE CLAY OVEN",-2677.57,0.00,"00",0.00,"Y"
"Payment",1,"TAN002","TANDOOR THE CLAY OVEN","00037780","00041042","TRANSF","","STAT 112","27/03/2025","TANDOOR THE CLAY OVEN",-1868.72,0.00,"00",0.00,"Y"
"Payment",1,"TAN002","TANDOOR THE CLAY OVEN","00037780","00041270","TRANSF","","STAT 112","27/03/2025","TANDOOR THE CLAY OVEN",-1338.78,0.00,"00",0.00,"Y"
"Payment",1,"TAN002","TANDOOR THE CLAY OVEN","00037780","00041408","TRANSF","","STAT 112","27/03/2025","TANDOOR THE CLAY OVEN",-3207.50,0.00,"00",0.00,"Y"
"Payment",1,"TAN002","TANDOOR THE CLAY OVEN","00037780","00042574","TRANSF","","STAT 112","27/03/2025","TANDOOR THE CLAY OVEN",-97.65,0.00,"00",0.00,"Y"
"Crd Note",2,"TAN002","TANDOOR THE CLAY OVEN","00012186","00041893","DN#12835-EMPTY","","","04/04/2025","TANDOOR THE CLAY OVEN",-1897.50,-247.50,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042017","00042017","DN#3000","00010934","","04/04/2025","TANDOOR THE CLAY OVEN",2677.57,349.25,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042018","00042018","DN#13000-EMPTY","","","04/04/2025","TANDOOR THE CLAY OVEN",2415.00,315.00,"00",0.00,"Y"
"Crd Note",2,"TAN002","TANDOOR THE CLAY OVEN","00012204","00042018","DN#13000-EMPTY","","","07/04/2025","TANDOOR THE CLAY OVEN",-2415.00,-315.00,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042249","00042249","DN#13061","00011008","","14/04/2025","TANDOOR THE CLAY OVEN",1306.16,170.37,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042250","00042250","DN#13061-EMPTY","","","14/04/2025","TANDOOR THE CLAY OVEN",1207.50,157.50,"00",0.00,"Y"
"Crd Note",2,"TAN002","TANDOOR THE CLAY OVEN","00012271","00042250","DN#13061-EMPTY","","","14/04/2025","TANDOOR THE CLAY OVEN",-1207.50,-157.50,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042315","00042315","DN#13075","","","16/04/2025","TANDOOR THE CLAY OVEN",1306.16,170.37,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042316","00042316","DN#13075-EMPTY","","","16/04/2025","TANDOOR THE CLAY OVEN",1207.50,157.50,"00",0.00,"Y"
"Crd Note",2,"TAN002","TANDOOR THE CLAY OVEN","00012298","00042316","DN#13075-EMPTY","","","17/04/2025","TANDOOR THE CLAY OVEN",-1207.50,-157.50,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042427","00042427","DN#13152","00011051","","22/04/2025","TANDOOR THE CLAY OVEN",3129.33,408.17,"00",0.00,"Y"
"Invoice",2,"TAN002","TANDOOR THE CLAY OVEN","00042428","00042428","DN#13152-EMPTY","","","22/04/2025","TANDOOR THE CLAY OVEN",3105.00,405.00,"00",0.00,"Y"
