"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Invoice",1,"TAN002","00041893","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","","01/04/2025",1.00,600.0000,600.0000,"DN#12835-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00041892","19.4","19KG LPG - PACKED","19K","LPG","","00010899","01/04/2025",1.00,460.8100,418.5003,"DN#12835","002","LOUIS","01","",0.0000,0.0000,1,69.12,"","",513.0435,513.0435,513.0435,513.0435,513.0435,513.0435,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00041408","1901","19KG LPG PACKED","19K","LPG","","00010720","12/03/2025",1.00,460.8100,420.9350,"D/N 12919","001","ITGUY","01","",0.0000,0.0000,1,69.12,"","",513.0435,513.0435,513.0435,513.0435,513.0435,513.0435,"COUNTER SALES","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00041271","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","06/03/2025",1.00,1050.0000,1050.0000,"DN#11730-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",1,"TAN002","00012022","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00041271","06/03/2025",-1.00,1050.0000,1050.0000,"DN#11730-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00041589","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","18/03/2025",2.00,1050.0000,1050.0000,"DN#10527-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",1,"TAN002","00012093","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00041589","19/03/2025",-2.00,1050.0000,1050.0000,"DN#10527-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00041893","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","01/04/2025",1.00,1050.0000,1050.0000,"DN#12835-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00041892","S.4","48KG SV LPG- PACKED","SV","LPG","","00010899","01/04/2025",1.00,1164.1600,1051.7893,"DN#12835","002","LOUIS","01","",0.0000,0.0000,1,174.63,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00041270","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00010680","06/03/2025",1.00,1164.1600,1063.8494,"DN#11730","002","TIFFANY","01","",0.0000,0.0000,1,174.62,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00041408","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00010720","12/03/2025",2.00,1164.1600,1063.5561,"D/N 12919","001","ITGUY","01","",0.0000,0.0000,1,349.25,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"COUNTER SALES","TANDOOR THE CLAY OVEN","","","",""
"Invoice",1,"TAN002","00041584","S01","48KG SINGLE VALVE PACKED","SV","LPG","","00010797","18/03/2025",2.00,1164.1600,1063.0131,"DN#10527","002","TIFFANY","01","",0.0000,0.0000,1,349.25,"","",1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,1252.1739,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012186","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","00041893","04/04/2025",-1.00,600.0000,600.0000,"DN#12835-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042428","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","","22/04/2025",1.00,600.0000,600.0000,"DN#13152-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012321","19.1","19KG CYLINDER DEPOSIT","CYL","CYL","","00042428","22/04/2025",-1.00,600.0000,600.0000,"DN#13152-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,90.00,"","",600.0000,600.0000,600.0000,600.0000,600.0000,600.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042427","19.4","19KG LPG - PACKED","19K","LPG","","00011051","22/04/2025",1.00,449.5800,414.5573,"DN#13152","002","LOUIS","01","",0.0000,0.0000,1,67.43,"","",513.0435,513.0435,513.0435,513.0435,513.0435,513.0435,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012186","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00041893","04/04/2025",-1.00,1050.0000,1050.0000,"DN#12835-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042018","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","04/04/2025",2.00,1050.0000,1050.0000,"DN#13000-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012204","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042018","07/04/2025",-2.00,1050.0000,1050.0000,"DN#13000-EMPTY","002","LOUIS","01","",0.0000,0.0000,1,315.00,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Invoice",2,"TAN002","00042250","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","","14/04/2025",1.00,1050.0000,1050.0000,"DN#13061-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
"Crd Note",2,"TAN002","00012271","S.1","48KG SV CYLINDER DEPOSIT","CYL","CYL","","00042250","14/04/2025",-1.00,1050.0000,1050.0000,"DN#13061-EMPTY","002","TIFFANY","01","",0.0000,0.0000,1,157.50,"","",1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,1050.0000,"DELIVERY","TANDOOR THE CLAY OVEN","","","",""
